city,year,month,mean_temp,days,baseline_mean,baseline_std,anomaly,z_score
Kaunas,1991,1,-2.32,31,-4.87,3.57,2.55,0.71
Kaunas,1991,2,-5.54,28,-3.99,3.78,-1.55,-0.41
Kaunas,1991,3,1.3,31,0.31,2.48,0.99,0.4
Kaunas,1991,4,6.15,30,6.63,1.45,-0.48,-0.33
Kaunas,1991,5,9.93,31,12.21,1.69,-2.29,-1.35
Kaunas,1991,6,14.37,30,16.05,1.63,-1.68,-1.03
Kaunas,1991,7,17.72,31,18.24,1.67,-0.52,-0.31
Kaunas,1991,8,17.38,31,17.44,1.26,-0.06,-0.05
Kaunas,1991,9,12.76,30,12.67,1.63,0.08,0.05
Kaunas,1991,10,6.21,31,6.65,1.71,-0.44,-0.26
Kaunas,1991,11,2.09,30,1.48,2.22,0.61,0.28
Kaunas,1991,12,-1.63,31,-3.02,3.35,1.39,0.41
Kaunas,1992,1,-1.97,31,-4.87,3.57,2.9,0.81
Kaunas,1992,2,-0.95,29,-3.99,3.78,3.04,0.81
Kaunas,1992,3,1.5,31,0.31,2.48,1.19,0.48
Kaunas,1992,4,4.65,30,6.63,1.45,-1.98,-1.36
Kaunas,1992,5,12.1,31,12.21,1.69,-0.11,-0.07
Kaunas,1992,6,16.33,30,16.05,1.63,0.28,0.17
Kaunas,1992,7,17.93,31,18.24,1.67,-0.31,-0.19
Kaunas,1992,8,18.01,31,17.44,1.26,0.57,0.45
Kaunas,1992,9,12.31,30,12.67,1.63,-0.37,-0.23
Kaunas,1992,10,2.54,31,6.65,1.71,-4.11,-2.41
Kaunas,1992,11,0.46,30,1.48,2.22,-1.01,-0.46
Kaunas,1992,12,-2.79,31,-3.02,3.35,0.22,0.07
Kaunas,1993,1,-2.63,31,-4.87,3.57,2.23,0.63
Kaunas,1993,2,-2.42,28,-3.99,3.78,1.57,0.42
Kaunas,1993,3,-0.84,31,0.31,2.48,-1.15,-0.46
Kaunas,1993,4,7.1,30,6.63,1.45,0.47,0.32
Kaunas,1993,5,14.96,31,12.21,1.69,2.75,1.63
Kaunas,1993,6,13.62,30,16.05,1.63,-2.43,-1.49
Kaunas,1993,7,15.83,31,18.24,1.67,-2.41,-1.45
Kaunas,1993,8,14.73,31,17.44,1.26,-2.72,-2.16
Kaunas,1993,9,9.27,30,12.67,1.63,-3.4,-2.09
Kaunas,1993,10,5.46,31,6.65,1.71,-1.19,-0.7
Kaunas,1993,11,-5.03,30,1.48,2.22,-6.51,-2.93
Kaunas,1993,12,-2.15,31,-3.02,3.35,0.87,0.26
Kaunas,1994,1,-1.77,31,-4.87,3.57,3.1,0.87
Kaunas,1994,2,-9.96,28,-3.99,3.78,-5.97,-1.58
Kaunas,1994,3,-0.64,31,0.31,2.48,-0.96,-0.38
Kaunas,1994,4,7.39,30,6.63,1.45,0.75,0.52
Kaunas,1994,5,10.66,31,12.21,1.69,-1.55,-0.92
Kaunas,1994,6,13.61,30,16.05,1.63,-2.44,-1.5
Kaunas,1994,7,19.85,31,18.24,1.67,1.61,0.96
Kaunas,1994,8,17.24,31,17.44,1.26,-0.21,-0.16
Kaunas,1994,9,13.65,30,12.67,1.63,0.97,0.6
Kaunas,1994,10,5.04,31,6.65,1.71,-1.61,-0.94
Kaunas,1994,11,0.83,30,1.48,2.22,-0.65,-0.29
Kaunas,1994,12,-2.44,31,-3.02,3.35,0.57,0.17
Kaunas,1995,1,-5.38,31,-4.87,3.57,-0.51,-0.14
Kaunas,1995,2,0.55,28,-3.99,3.78,4.55,1.2
Kaunas,1995,3,1.01,31,0.31,2.48,0.7,0.28
Kaunas,1995,4,6.15,30,6.63,1.45,-0.49,-0.34
Kaunas,1995,5,11.4,31,12.21,1.69,-0.81,-0.48
Kaunas,1995,6,17.46,30,16.05,1.63,1.4,0.86
Kaunas,1995,7,17.8,31,18.24,1.67,-0.44,-0.26
Kaunas,1995,8,17.04,31,17.44,1.26,-0.4,-0.32
Kaunas,1995,9,12.28,30,12.67,1.63,-0.39,-0.24
Kaunas,1995,10,8.34,31,6.65,1.71,1.69,0.99
Kaunas,1995,11,-1.69,30,1.48,2.22,-3.17,-1.43
Kaunas,1995,12,-8.41,31,-3.02,3.35,-5.4,-1.61
Kaunas,1996,1,-11.45,31,-4.87,3.57,-6.59,-1.85
Kaunas,1996,2,-9.61,29,-3.99,3.78,-5.62,-1.49
Kaunas,1996,3,-4.68,31,0.31,2.48,-4.99,-2.01
Kaunas,1996,4,6.31,30,6.63,1.45,-0.33,-0.23
Kaunas,1996,5,12.88,31,12.21,1.69,0.67,0.4
