city,year,month,mean_temp,days,baseline_mean,baseline_std,anomaly,z_score
Vilnius,1991,1,-3.88,31,-5.81,3.47,1.93,0.56
Vilnius,1991,2,-6.63,28,-4.88,3.8,-1.75,-0.46
Vilnius,1991,3,0.3,31,-0.25,2.66,0.55,0.21
Vilnius,1991,4,5.93,30,6.43,1.54,-0.49,-0.32
Vilnius,1991,5,10.0,31,12.19,1.69,-2.19,-1.29
Vilnius,1991,6,14.75,30,16.15,1.62,-1.4,-0.86
Vilnius,1991,7,17.62,31,18.3,1.64,-0.69,-0.42
Vilnius,1991,8,17.22,31,17.6,1.45,-0.38,-0.26
Vilnius,1991,9,12.75,30,12.56,1.69,0.19,0.11
Vilnius,1991,10,5.83,31,6.25,1.71,-0.42,-0.25
Vilnius,1991,11,1.44,30,0.89,2.3,0.55,0.24
Vilnius,1991,12,-2.59,31,-3.85,3.37,1.27,0.38
Vilnius,1992,1,-3.23,31,-5.81,3.47,2.58,0.74
Vilnius,1992,2,-2.02,29,-4.88,3.8,2.86,0.75
Vilnius,1992,3,1.27,31,-0.25,2.66,1.52,0.57
Vilnius,1992,4,4.1,30,6.43,1.54,-2.33,-1.52
Vilnius,1992,5,11.85,31,12.19,1.69,-0.34,-0.2
Vilnius,1992,6,16.17,30,16.15,1.62,0.03,0.02
Vilnius,1992,7,18.42,31,18.3,1.64,0.12,0.07
Vilnius,1992,8,19.34,31,17.6,1.45,1.75,1.21
Vilnius,1992,9,12.25,30,12.56,1.69,-0.31,-0.19
Vilnius,1992,10,2.22,31,6.25,1.71,-4.03,-2.35
Vilnius,1992,11,-0.58,30,0.89,2.3,-1.47,-0.64
Vilnius,1992,12,-3.71,31,-3.85,3.37,0.15,0.04
Vilnius,1993,1,-3.61,31,-5.81,3.47,2.2,0.63
Vilnius,1993,2,-3.4,28,-4.88,3.8,1.47,0.39
Vilnius,1993,3,-1.44,31,-0.25,2.66,-1.19,-0.45
Vilnius,1993,4,6.7,30,6.43,1.54,0.27,0.18
Vilnius,1993,5,14.64,31,12.19,1.69,2.45,1.45
Vilnius,1993,6,13.68,30,16.15,1.62,-2.47,-1.52
Vilnius,1993,7,15.57,31,18.3,1.64,-2.73,-1.67
Vilnius,1993,8,14.51,31,17.6,1.45,-3.09,-2.14
Vilnius,1993,9,8.93,30,12.56,1.69,-3.63,-2.15
Vilnius,1993,10,5.04,31,6.25,1.71,-1.21,-0.71
