year,ytd_mean_temp,ytd_total_precip,days,ytd_total_snowfall,ytd_total_sunshine,ytd_mean_wind_speed,ytd_total_et0
1991,-2.0585977011494254,126.666,87,0.0,0.0,2.4235172413793102,0.0
1992,-0.23363636363636367,160.564,88,0.0,0.0,2.7219545454545453,0.0
1993,-1.8568505747126436,155.60999999999999,87,0.0,0.0,2.9531954022988507,0.0
1994,-4.02464367816092,195.37199999999999,87,0.0,0.0,2.465034482758621,0.0
1995,-1.1835862068965517,202.26399999999998,87,0.0,0.0,2.877494252873563,0.0
1996,-8.216522727272727,104.34,88,0.0,0.0,2.0667045454545456,0.0
1997,-2.2148735632183905,109.05799999999999,87,0.0,0.0,2.7411264367816095,0.0
1998,-1.2261609195402299,190.228,87,0.0,0.0,2.596390804597701,0.0
1999,-3.0222988505747126,162.844,87,0.0,0.0,2.2552643678160917,0.0
2000,-1.474681818181818,169.23,88,0.0,0.0,2.625227272727273,0.0
2001,-3.3997701149425286,147.428,87,0.0,0.0,2.1469655172413793,0.0
2002,-0.5133103448275862,211.728,87,0.0,0.0,2.9542298850574715,0.0
2003,-5.480942528735632,84.782,87,0.0,0.0,2.1799540229885057,0.0
2004,-4.577113636363636,171.564,88,0.0,0.0,2.3070454545454546,0.0
2005,-4.540114942528736,150.682,87,0.0,0.0,2.464551724137931,0.0
2006,-8.240252873563218,87.194,87,0.0,0.0,1.9525057471264367,0.0
2007,-1.3973333333333333,208.344,87,0.0,0.0,2.7263678160919538,0.0
2008,-0.14477272727272728,194.452,88,0.0,0.0,2.888,0.0
2009,-3.9010344827586207,133.554,87,0.0,0.0,2.001448275862069,0.0
2010,-7.438827586206896,110.11,87,0.0,0.0,2.1390804597701147,0.0
2011,-4.987747126436782,112.874,87,0.0,0.0,2.480919540229885,0.0
2012,-4.733272727272728,148.516,88,0.0,0.0,2.474022727272727,0.0
2013,-6.225701149425287,105.556,87,0.0,0.0,2.143126436781609,0.0
2014,-1.766942528735632,125.654,87,0.0,0.0,2.5571724137931033,0.0
2015,-0.46885057471264374,133.9,87,0.0,0.0,2.3868275862068966,0.0
2016,-2.254909090909091,157.23,88,0.0,0.0,2.271318181818182,0.0
2017,-2.275448275862069,142.808,87,0.0,0.0,2.276919540229885,0.0
2018,-4.240045977011494,105.378,87,0.0,0.0,2.107264367816092,0.0
2019,-1.852942528735632,157.252,87,0.0,0.0,2.540528735632184,0.0
2020,1.911181818181818,169.514,88,0.0,0.0,2.8086136363636363,0.0
2021,-4.508206896551724,124.71,87,0.0,0.0,2.1599310344827587,0.0
2022,-0.30331034482758623,166.632,87,0.0,0.0,2.6478850574712642,0.0
2023,-0.5592413793103448,182.656,87,0.0,0.0,2.5587586206896553,0.0
2024,-0.5775227272727272,168.812,88,0.0,0.0,2.4500227272727275,0.0
2025,0.17487356321839084,118.06,87,0.0,0.0,2.3384597701149423,0.0
2026,-40.59416091954023,-2918.46,87,0.08399999999999999,42362.114,-32.20940229885057,1.846
