city,year,ytd_mean_temp,ytd_total_precip,days,ytd_total_snowfall,ytd_total_sunshine,ytd_mean_wind_speed,ytd_total_et0
Kaunas,1991,-2.2144827586206897,126.93,87,0.0,0.0,1.9320689655172414,0.0
Kaunas,1992,-0.5028409090909091,162.65,88,0.0,0.0,2.199772727272727,0.0
Kaunas,1993,-2.0442528735632184,157.31,87,0.0,0.0,2.4228735632183906,0.0
Kaunas,1994,-4.156666666666666,198.15,87,0.0,0.0,1.9428735632183909,0.0
Kaunas,1995,-1.3651724137931034,208.71,87,0.0,0.0,2.2675862068965515,0.0
Kaunas,1996,-8.766022727272727,108.2,88,0.0,0.0,1.5663636363636364,0.0
Kaunas,1997,-2.6190804597701147,110.08,87,0.0,0.0,2.2004597701149424,0.0
Kaunas,1998,-1.2819540229885058,183.39000000000001,87,0.0,0.0,2.1033333333333335,0.0
Kaunas,1999,-3.0451724137931033,158.64000000000001,87,0.0,0.0,1.7888505747126435,0.0
Kaunas,2000,-1.6779545454545455,172.63,88,0.0,0.0,2.0848863636363637,0.0
Kaunas,2001,-3.729080459770115,149.87,87,0.0,0.0,1.6526436781609195,0.0
Kaunas,2002,-0.747816091954023,201.1,87,0.0,0.0,2.3537931034482757,0.0
Kaunas,2003,-5.987471264367816,84.94,87,0.0,0.0,1.7070114942528734,0.0
Kaunas,2004,-4.880909090909091,176.63,88,0.0,0.0,1.7905681818181818,0.0
Kaunas,2005,-4.796781609195402,149.94,87,0.0,0.0,1.9154022988505746,0.0
Kaunas,2006,-8.879885057471263,87.53,87,0.0,0.0,1.4928735632183907,0.0
Kaunas,2007,-1.4804597701149427,206.82,87,0.0,0.0,2.1775862068965517,0.0
Kaunas,2008,-0.2853409090909091,209.5,88,0.0,0.0,2.31875,0.0
Kaunas,2009,-4.367586206896552,136.86,87,0.0,0.0,1.5029885057471264,0.0
Kaunas,2010,-7.534942528735632,104.28,87,0.0,0.0,1.652528735632184,0.0
Kaunas,2011,-5.241379310344827,113.59,87,0.0,0.0,1.9360919540229884,0.0
Kaunas,2012,-5.052840909090909,145.76,88,0.0,0.0,1.9564772727272726,0.0
Kaunas,2013,-6.518735632183908,111.01,87,0.0,0.0,1.638735632183908,0.0
Kaunas,2014,-1.834942528735632,129.66,87,0.0,0.0,2.0145977011494254,0.0
