city,year,month,current_temp_mean,current_precip_total,days,snowfall_total,sunshine_total,climatology_temp_mean,climatology_temp_std,climatology_precip_mean,climatology_precip_std,temp_anomaly,precip_anomaly,temp_zscore,precip_zscore
Kaunas,2026,1,-11.299354838709677,36.87,31,0.0,0.0,-4.866046082949309,3.5666324483674097,58.19542857142857,20.021720168042382,-6.433308755760368,-21.325428571428574,-1.8037487318619418,-1.0651147050525211
Kaunas,2026,2,-10.266071428571427,34.53,28,0.0,0.0,-3.994478536242083,3.779534304419313,48.71171428571429,18.109511392004556,-6.271592892329345,-14.181714285714285,-1.659355991291343,-0.7831086095440204
Kaunas,2026,3,-103.67571428571429,-2992.92,28,0.0,44740.95,-0.001530612244897941,2.57011045022899,42.78771428571429,19.575224450026305,-103.6741836734694,-3035.7077142857142,-40.33841567557235,-155.07907569773153
Klaipeda,2026,1,-7.088709677419355,47.82,31,0.0,0.0,-1.3283502304147465,2.8645425723297695,72.67085714285714,27.878295623849684,-5.760359447004609,-24.850857142857144,-2.0109177299884338,-0.891405180508862
Klaipeda,2026,2,-7.144285714285714,34.88,28,0.0,0.0,-1.3622417311752286,2.976102800601649,55.295428571428566,23.453548376068202,-5.782043983110485,-20.415428571428563,-1.9428240119735067,-0.8704622534754822
Klaipeda,2026,3,-104.38321428571429,-2985.75,28,0.0,35933.79,1.0295204081632654,1.964807835388344,43.81314285714286,22.647391327691135,-105.41273469387755,-3029.563142857143,-53.65040427632595,-133.77095397088289
Panevezys,2026,1,-12.03,41.16,31,0.0,0.0,-5.136479262672811,3.5334602577334517,57.628,20.395387425476727,-6.893520737327188,-16.468000000000004,-1.9509263539160497,-0.8074374688969693
Panevezys,2026,2,-10.850714285714286,37.14,28,0.0,0.0,-4.458935608726249,3.874022448467035,48.45542857142857,17.617849295005126,-6.391778676988037,-11.31542857142857,-1.6499074958941673,-0.6422707097759447
Panevezys,2026,3,-104.62464285714286,-2993.5299999999997,28,0.0,44859.65,-0.41248979591836743,2.6103376297251892,42.566857142857145,19.45304947687071,-104.2121530612245,-3036.096857142857,-39.922863569260095,-156.07305480576278
Siauliai,2026,1,-11.235161290322582,31.64,31,0.0,0.0,-4.622138248847927,3.5294107558228918,51.751999999999995,18.400895566440752,-6.613023041474655,-20.111999999999995,-1.8736903973458907,-1.092990280140491
Siauliai,2026,2,-11.304285714285713,30.95,28,0.0,0.0,-4.158759324419423,3.7847518672565514,41.588571428571434,15.21742753688468,-7.145526389866291,-10.638571428571435,-1.887977505655043,-0.6991044578845663
Siauliai,2026,3,-104.18892857142858,-2989.32,28,0.42,42384.27,-0.5069795918367347,2.5318545860948416,35.895714285714284,15.982694186068198,-103.68194897959184,-3025.2157142857145,-40.950988871565464,-189.28071069036258
Vilnius,2026,1,-12.605806451612903,42.6,31,0.0,0.0,-5.808460829493087,3.4694305249223163,54.46,18.823667361626864,-6.797345622119816,-11.86,-1.959210761907969,-0.6300578825663534
Vilnius,2026,2,-10.358214285714286,24.89,28,0.0,0.0,-4.878787825475017,3.7978404094852665,46.193999999999996,16.76299078327015,-5.479426460239269,-21.303999999999995,-1.4427742794442258,-1.270894930113657
Vilnius,2026,3,-103.79071428571429,-2993.26,28,0.0,43891.91,-0.5772857142857143,2.7509100414994614,42.20885714285714,18.762504500360563,-103.21342857142858,-3035.4688571428574,-37.519739655015826,-161.78377769793602
