time,temperature_2m_mean,precipitation_sum,snowfall_sum,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,year,month_day,climatology_temp_mean,climatology_temp_std,climatology_precip_mean,climatology_precip_std,climatology_snow_mean,climatology_snow_std,climatology_sunshine_mean,temp_anomaly,precip_anomaly,rolling_7d_temp_anomaly,rolling_30d_temp_anomaly,rolling_7d_precip_anomaly,cumulative_precip_anomaly,snow_anomaly,rolling_7d_snow_anomaly
2026-01-01,-6.128,6.4079999999999995,,,3.474,,2026,01-01,-3.893333333333333,5.724300151973607,2.6238666666666663,2.93014138452965,,,,-2.234666666666667,3.784133333333333,-2.234666666666667,-2.234666666666667,3.784133333333333,3.784133333333333,,
2026-01-02,0.07200000000000004,5.174,,,3.346,,2026,01-02,-4.557666666666666,5.867798719800462,2.4766,2.6797408083618834,,,,4.629666666666666,2.6974000000000005,1.1974999999999996,1.1974999999999996,6.481533333333333,6.481533333333333,,
2026-01-03,-1.886,1.61,,,2.588,,2026,01-03,-4.8312,6.439975232336181,2.2565999999999997,2.9525874170246706,,,,2.9452,-0.6465999999999996,1.7800666666666665,1.7800666666666665,5.834933333333334,5.834933333333334,,
2026-01-04,-3.8,1.8,,,2.61,,2026,01-04,-4.7994666666666665,6.151363626413888,2.126,1.8947609074898408,,,,0.9994666666666667,-0.32599999999999985,1.5849166666666665,1.5849166666666665,5.508933333333334,5.508933333333334,,
2026-01-05,-3.78,1.706,,,1.9780000000000002,,2026,01-05,-5.120266666666667,6.577517123705849,1.5505333333333333,1.7780462686143277,,,,1.340266666666667,0.15546666666666664,1.5359866666666666,1.5359866666666666,5.6644000000000005,5.6644000000000005,,
2026-01-06,-6.459999999999999,1.3359999999999999,,,1.642,,2026,01-06,-6.047866666666667,6.902724438311613,1.8202666666666667,2.224164328668082,,,,-0.41213333333333235,-0.48426666666666685,1.2113,1.2113,5.180133333333334,5.180133333333334,,
2026-01-07,-6.8,0.288,,,1.098,,2026,01-07,-5.301466666666666,6.606910633536694,1.7528666666666666,2.053038567811024,,,,-1.4985333333333335,-1.4648666666666665,0.8241809523809523,0.8241809523809523,3.7152666666666674,3.7152666666666674,,
2026-01-08,-8.878,0.22800000000000004,,,2.04,,2026,01-08,-4.137266666666666,6.034434487307754,1.7634,2.2049688808500774,,,,-4.740733333333334,-1.5354,0.4661714285714286,0.1285666666666666,-1.6042666666666658,2.1798666666666673,,
2026-01-09,-10.572,2.098,,,4.326,,2026,01-09,-3.0551999999999997,5.213080725279043,1.9293333333333333,2.3757093362982586,,,,-7.5168,0.16866666666666652,-1.2690380952380953,-0.7209185185185185,-4.132999999999999,2.348533333333334,,
2026-01-10,-9.478,1.682,,,2.8899999999999997,,2026,01-10,-3.7262,5.816823978770546,2.3719333333333332,3.287753639706342,,,,-5.751799999999999,-0.6899333333333333,-2.5114666666666667,-1.2240066666666667,-4.176333333333333,1.6586000000000007,,
2026-01-11,-10.864,0.558,,,1.524,,2026,01-11,-3.7392,6.235262516388213,2.0147333333333335,2.1101034119671485,,,,-7.1248000000000005,-1.4567333333333334,-3.6720761904761905,-1.7604424242424244,-5.3070666666666675,0.2018666666666673,,
2026-01-12,-12.822,0.154,,,1.1320000000000001,,2026,01-12,-2.6786000000000003,4.419543810129635,2.3242,2.5485052468267453,,,,-10.1434,-2.1702,-5.312600000000001,-2.4590222222222224,-7.632733333333333,-1.9683333333333326,,
2026-01-13,-13.24,0.254,,,1.144,,2026,01-13,-2.3959333333333332,4.2761070753128045,1.8872,2.3275764278721778,,,,-10.844066666666667,-1.6332,-6.80287619047619,-3.104025641025641,-8.781666666666666,-3.6015333333333324,,
2026-01-14,-13.357999999999999,0.706,,,2.876,,2026,01-14,-3.1910666666666665,4.4412034943426,1.7240666666666666,2.17414718807221,,,,-10.166933333333333,-1.0180666666666667,-8.041219047619048,-3.6085190476190476,-8.334866666666667,-4.619599999999999,,
