time,temperature_2m_mean,precipitation_sum,snowfall_sum,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,year,month_day
1991-01-01,-1.214,0.866,,,1.722,,1991,01-01
1991-01-02,-3.504,1.504,,,2.006,,1991,01-02
1991-01-03,0.514,8.506,,,4.004,,1991,01-03
1991-01-04,0.73,2.844,,,2.4560000000000004,,1991,01-04
1991-01-05,0.45,0.5359999999999999,,,2.698,,1991,01-05
1991-01-06,-0.148,5.044,,,3.7239999999999993,,1991,01-06
1991-01-07,1.372,2.71,,,4.114,,1991,01-07
1991-01-08,0.8119999999999999,2.6380000000000003,,,3.16,,1991,01-08
1991-01-09,1.9759999999999998,2.6239999999999997,,,3.84,,1991,01-09
1991-01-10,3.0900000000000003,4.366,,,4.178,,1991,01-10
1991-01-11,3.2359999999999998,1.5939999999999999,,,4.96,,1991,01-11
1991-01-12,1.492,2.1719999999999997,,,2.25,,1991,01-12
1991-01-13,-1.3039999999999998,1.44,,,2.98,,1991,01-13
1991-01-14,-3.092,0.45199999999999996,,,2.716,,1991,01-14
1991-01-15,-4.1979999999999995,0.11000000000000001,,,1.32,,1991,01-15
1991-01-16,-2.7199999999999998,0.262,,,2.216,,1991,01-16
1991-01-17,-2.398,0.22400000000000003,,,1.782,,1991,01-17
1991-01-18,-2.774,0.158,,,1.2520000000000002,,1991,01-18
1991-01-19,-2.798,0.274,,,0.9560000000000001,,1991,01-19
1991-01-20,-4.773999999999999,0.096,,,2.33,,1991,01-20
1991-01-21,-2.31,1.6480000000000001,,,2.726,,1991,01-21
1991-01-22,-1.178,0.242,,,1.702,,1991,01-22
1991-01-23,0.07200000000000002,0.76,,,3.1,,1991,01-23
1991-01-24,-0.17400000000000002,0.17800000000000002,,,2.9160000000000004,,1991,01-24
1991-01-25,-0.6100000000000001,0.294,,,3.7600000000000002,,1991,01-25
1991-01-26,-0.11599999999999999,0.026000000000000002,,,2.836,,1991,01-26
1991-01-27,-5.965999999999999,0.06999999999999999,,,1.064,,1991,01-27
1991-01-28,-2.5,1.49,,,2.438,,1991,01-28
1991-01-29,-2.416,0.704,,,3.164,,1991,01-29
1991-01-30,-14.99,0.006,,,2.444,,1991,01-30
1991-01-31,-16.036,0.002,,,1.302,,1991,01-31
1991-02-01,-12.474,0.004,,,1.29,,1991,02-01
1991-02-02,-8.846,0.178,,,1.1960000000000002,,1991,02-02
1991-02-03,-7.530000000000001,0.07,,,2.432,,1991,02-03
1991-02-04,-7.653999999999999,0.294,,,2.646,,1991,02-04
1991-02-05,-10.608,0.064,,,2.488,,1991,02-05
1991-02-06,-13.319999999999999,0.018,,,1.8239999999999998,,1991,02-06
1991-02-07,-10.602,0.06799999999999999,,,2.354,,1991,02-07
1991-02-08,-8.492,0.196,,,3.3920000000000003,,1991,02-08
1991-02-09,-6.51,1.8820000000000001,,,4.4079999999999995,,1991,02-09
1991-02-10,-7.362,0.646,,,2.832,,1991,02-10
1991-02-11,-5.468,2.948,,,2.812,,1991,02-11
1991-02-12,-4.292,1.392,,,2.034,,1991,02-12
1991-02-13,-3.808,11.076,,,2.3880000000000003,,1991,02-13
1991-02-14,-3.412,8.256,,,3.08,,1991,02-14
1991-02-15,-4.514,4.1240000000000006,,,3.228,,1991,02-15
1991-02-16,-8.552000000000001,0.634,,,1.3820000000000001,,1991,02-16
1991-02-17,-8.709999999999999,0.7140000000000001,,,1.478,,1991,02-17
1991-02-18,-6.274,2.364,,,2.844,,1991,02-18
1991-02-19,-3.934,1.126,,,2.774,,1991,02-19
1991-02-20,-1.778,0.768,,,2.684,,1991,02-20
1991-02-21,-2.27,0.22599999999999998,,,1.902,,1991,02-21
1991-02-22,-1.242,0.132,,,1.746,,1991,02-22
1991-02-23,-0.716,0.882,,,2.618,,1991,02-23
1991-02-24,1.412,1.778,,,3.696,,1991,02-24
1991-02-25,1.3219999999999998,3.114,,,2.55,,1991,02-25
1991-02-26,0.46399999999999997,3.246,,,2.868,,1991,02-26
